sku,sizeMl,productName,imageFile
KacBel,3,kacha beli,
KacBel,3.5,kacha beli,
KacBel,6,kacha beli,
KacBel,15,kacha beli,
KacBel,30,kacha beli,
KacBel_SP,6,kacha beli Spray,
KacBel_SP,15,kacha beli Spray,
KacBel_SP,30,kacha beli Spray,
KacBel_SP,50,kacha beli Spray,
KacBel_SP,100,kacha beli Spray,
MisDio,3,Miss Dior,
MisDio,3.5,Miss Dior,
MisDio,6,Miss Dior,
MisDio,15,Miss Dior,
MisDio,30,Miss Dior,
MisDio_SP,6,Miss Dior Spray,
MisDio_SP,15,Miss Dior Spray,
MisDio_SP,30,Miss Dior Spray,
MisDio_SP,50,Miss Dior Spray,
MisDio_SP,100,Miss Dior Spray,
ParHil,3,Paris Hilton,
ParHil,3.5,Paris Hilton,
ParHil,6,Paris Hilton,
ParHil,15,Paris Hilton,
ParHil,30,Paris Hilton,
ParHil_SP,6,Paris Hilton Spray,
ParHil_SP,15,Paris Hilton Spray,
ParHil_SP,30,Paris Hilton Spray,
ParHil_SP,50,Paris Hilton Spray,
ParHil_SP,100,Paris Hilton Spray,
ChaCha,3,Chanel chance,
ChaCha,3.5,Chanel chance,
ChaCha,6,Chanel chance,
ChaCha,15,Chanel chance,
ChaCha,30,Chanel chance,
ChaCha_SP,6,Chanel chance Spray,
ChaCha_SP,15,Chanel chance Spray,
ChaCha_SP,30,Chanel chance Spray,
ChaCha_SP,50,Chanel chance Spray,
ChaCha_SP,100,Chanel chance Spray,
CoCo,3,Chocolate,
CoCo,3.5,Chocolate,
CoCo,6,Chocolate,
CoCo,15,Chocolate,
CoCo,30,Chocolate,
CoCo_SP,6,Chocolate Spray,
CoCo_SP,15,Chocolate Spray,
CoCo_SP,30,Chocolate Spray,
CoCo_SP,50,Chocolate Spray,
CoCo_SP,100,Chocolate Spray,
BurH,3,Burberry Her,
BurH,3.5,Burberry Her,
BurH,6,Burberry Her,
BurH,15,Burberry Her,
BurH,30,Burberry Her,
BurH_SP,6,Burberry Her Spray,
BurH_SP,15,Burberry Her Spray,
BurH_SP,30,Burberry Her Spray,
BurH_SP,50,Burberry Her Spray,
BurH_SP,100,Burberry Her Spray,
HFH,3,Hawas For Him,
HFH,3.5,Hawas For Him,
HFH,6,Hawas For Him,
HFH,15,Hawas For Him,
HFH,30,Hawas For Him,
HFH_SP,6,Hawas For Him Spray,
HFH_SP,15,Hawas For Him Spray,
HFH_SP,30,Hawas For Him Spray,
HFH_SP,50,Hawas For Him Spray,
HFH_SP,100,Hawas For Him Spray,
WO,3,White Oud,
WO,3.5,White Oud,
WO,6,White Oud,
WO,15,White Oud,
WO,30,White Oud,
WO_SP,6,White Oud Spray,
WO_SP,15,White Oud Spray,
WO_SP,30,White Oud Spray,
WO_SP,50,White Oud Spray,
WO_SP,100,White Oud Spray,
PuSD,3,Pure Seduction,
PuSD,3.5,Pure Seduction,
PuSD,6,Pure Seduction,
PuSD,15,Pure Seduction,
PuSD,30,Pure Seduction,
PuSD_SP,6,Pure Seduction Spray,
PuSD_SP,15,Pure Seduction Spray,
PuSD_SP,30,Pure Seduction Spray,
PuSD_SP,50,Pure Seduction Spray,
PuSD_SP,100,Pure Seduction Spray,
PRCn,3,Prada Candy,
PRCn,3.5,Prada Candy,
PRCn,6,Prada Candy,
PRCn,15,Prada Candy,
PRCn,30,Prada Candy,
PRCn_SP,6,Prada Candy Spray,
PRCn_SP,15,Prada Candy Spray,
PRCn_SP,30,Prada Candy Spray,
PRCn_SP,50,Prada Candy Spray,
PRCn_SP,100,Prada Candy Spray,
Fgg,3,Fogg,
Fgg,3.5,Fogg,
Fgg,6,Fogg,
Fgg,15,Fogg,
Fgg,30,Fogg,
Fgg_SP,6,Fogg Spray,
Fgg_SP,15,Fogg Spray,
Fgg_SP,30,Fogg Spray,
Fgg_SP,50,Fogg Spray,
Fgg_SP,100,Fogg Spray,
DunIco,3,Dunhill Icon,
DunIco,3.5,Dunhill Icon,
DunIco,6,Dunhill Icon,
DunIco,15,Dunhill Icon,
DunIco,30,Dunhill Icon,
DunIco_SP,6,Dunhill Icon Spray,
DunIco_SP,15,Dunhill Icon Spray,
DunIco_SP,30,Dunhill Icon Spray,
DunIco_SP,50,Dunhill Icon Spray,
DunIco_SP,100,Dunhill Icon Spray,
DipTam,3,Diptyque tam dao,
DipTam,3.5,Diptyque tam dao,
DipTam,6,Diptyque tam dao,
DipTam,15,Diptyque tam dao,
DipTam,30,Diptyque tam dao,
DipTam_SP,6,Diptyque tam dao Spray,
DipTam_SP,15,Diptyque tam dao Spray,
DipTam_SP,30,Diptyque tam dao Spray,
DipTam_SP,50,Diptyque tam dao Spray,
DipTam_SP,100,Diptyque tam dao Spray,
CreAve,3,Creed Aventus,
CreAve,3.5,Creed Aventus,
CreAve,6,Creed Aventus,
CreAve,15,Creed Aventus,
CreAve,30,Creed Aventus,
CreAve_SP,6,Creed Aventus Spray,
CreAve_SP,15,Creed Aventus Spray,
CreAve_SP,30,Creed Aventus Spray,
CreAve_SP,50,Creed Aventus Spray,
CreAve_SP,100,Creed Aventus Spray,
GucFla,3,Gucci Flora,
GucFla,3.5,Gucci Flora,
GucFla,6,Gucci Flora,
GucFla,15,Gucci Flora,
GucFla,30,Gucci Flora,
GucFla_SP,6,Gucci Flora Spray,
GucFla_SP,15,Gucci Flora Spray,
GucFla_SP,30,Gucci Flora Spray,
GucFla_SP,50,Gucci Flora Spray,
GucFla_SP,100,Gucci Flora Spray,
CreAbs,3,Creed absolute,
CreAbs,3.5,Creed absolute,
CreAbs,6,Creed absolute,
CreAbs,15,Creed absolute,
CreAbs,30,Creed absolute,
CreAbs_SP,6,Creed absolute Spray,
CreAbs_SP,15,Creed absolute Spray,
CreAbs_SP,30,Creed absolute Spray,
CreAbs_SP,50,Creed absolute Spray,
CreAbs_SP,100,Creed absolute Spray,
SR,3,SRK,
SR,3.5,SRK,
SR,6,SRK,
SR,15,SRK,
SR,30,SRK,
SR_SP,6,SRK Spray,
SR_SP,15,SRK Spray,
SR_SP,30,SRK Spray,
SR_SP,50,SRK Spray,
SR_SP,100,SRK Spray,
LUXE1,3,Luxe Special,
LUXE1,3.5,Luxe Special,
LUXE1,6,Luxe Special,
LUXE1,15,Luxe Special,
LUXE1,30,Luxe Special,
LUXE1_SP,6,Luxe Special Spray,
LUXE1_SP,15,Luxe Special Spray,
LUXE1_SP,30,Luxe Special Spray,
LUXE1_SP,50,Luxe Special Spray,
LUXE1_SP,100,Luxe Special Spray,
Fant_2,3,Fantasy,
Fant_2,3.5,Fantasy,
Fant_2,6,Fantasy,
Fant_2,15,Fantasy,
Fant_2,30,Fantasy,
Fant_2_SP,6,Fantasy Spray,
Fant_2_SP,15,Fantasy Spray,
Fant_2_SP,30,Fantasy Spray,
Fant_2_SP,50,Fantasy Spray,
Fant_2_SP,100,Fantasy Spray,
DunIco_2,3,Dunhill Icon,
DunIco_2,3.5,Dunhill Icon,
DunIco_2,6,Dunhill Icon,
DunIco_2,15,Dunhill Icon,
DunIco_2,30,Dunhill Icon,
DunIco_2_SP,6,Dunhill Icon Spray,
DunIco_2_SP,15,Dunhill Icon Spray,
DunIco_2_SP,30,Dunhill Icon Spray,
DunIco_2_SP,50,Dunhill Icon Spray,
DunIco_2_SP,100,Dunhill Icon Spray,
SR2,3,SRK,
SR2,3.5,SRK,
SR2,6,SRK,
SR2,15,SRK,
SR2,30,SRK,
SR2_SP,6,SRK Spray,
SR2_SP,15,SRK Spray,
SR2_SP,30,SRK Spray,
SR2_SP,50,SRK Spray,
SR2_SP,100,SRK Spray,
NV,3,Nautica voyage,
NV,3.5,Nautica voyage,
NV,6,Nautica voyage,
NV,15,Nautica voyage,
NV,30,Nautica voyage,
NV_SP,6,Nautica voyage Spray,
NV_SP,15,Nautica voyage Spray,
NV_SP,30,Nautica voyage Spray,
NV_SP,50,Nautica voyage Spray,
NV_SP,100,Nautica voyage Spray,
