Invoice,Supplier,Date,Total Amount (৳),Item Type,Item Name,Item SKU,Size (ml),Quantity,Cost/Unit (৳),Total Cost (৳),Notes
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,50,,,1st
,Amanat Attar House ,,,,,,,6,,,1st
,Amanat Attar House ,,,,,,,6,,,1st
,Amanat Attar House ,,,,,,,12,,,1st
,Amanat Attar House ,,,,,,,2,,,1st
,Amanat Attar House ,,,,,,,250,,,1st
